Leeftijd;Mannen;Vrouwen
105 jaar of ouder
;0;0
104 jaar;0;0
103 jaar;0;0
102 jaar;0;0
101 jaar;0;1 000
100 jaar;0;1 000
99 jaar;0;2 000
98 jaar;1 000;2 000
97 jaar;1 000;3 000
96 jaar;1 000;5 000
95 jaar;2 000;6 000
94 jaar;3 000;9 000
93 jaar;4 000;11 000
92 jaar;6 000;14 000
91 jaar;8 000;17 000
90 jaar;11 000;22 000
89 jaar;13 000;25 000
88 jaar;16 000;29 000
87 jaar;19 000;32 000
86 jaar;23 000;36 000
85 jaar;27 000;39 000
84 jaar;30 000;43 000
83 jaar;34 000;46 000
82 jaar;40 000;51 000
81 jaar;44 000;55 000
80 jaar;49 000;58 000
79 jaar;50 000;59 000
78 jaar;56 000;63 000
77 jaar;63 000;70 000
76 jaar;68 000;75 000
75 jaar;67 000;73 000
74 jaar;98 000;104 000
73 jaar;97 000;102 000
72 jaar;94 000;98 000
71 jaar;93 000;96 000
70 jaar;93 000;96 000
69 jaar;94 000;96 000
68 jaar;98 000;101 000
67 jaar;99 000;101 000
66 jaar;102 000;103 000
65 jaar;103 000;106 000
64 jaar;108 000;109 000
63 jaar;110 000;111 000
62 jaar;113 000;114 000
61 jaar;117 000;118 000
60 jaar;119 000;119 000
59 jaar;123 000;123 000
58 jaar;124 000;124 000
57 jaar;128 000;126 000
56 jaar;130 000;129 000
55 jaar;129 000;127 000
54 jaar;127 000;126 000
53 jaar;126 000;125 000
52 jaar;128 000;127 000
51 jaar;133 000;133 000
50 jaar;130 000;130 000
49 jaar;125 000;125 000
48 jaar;119 000;121 000
47 jaar;110 000;112 000
46 jaar;106 000;108 000
45 jaar;102 000;103 000
44 jaar;102 000;102 000
43 jaar;101 000;102 000
42 jaar;103 000;103 000
41 jaar;103 000;103 000
40 jaar;107 000;107 000
39 jaar;105 000;105 000
38 jaar;104 000;103 000
37 jaar;104 000;103 000
36 jaar;107 000;105 000
35 jaar;109 000;107 000
34 jaar;111 000;110 000
33 jaar;113 000;109 000
32 jaar;113 000;110 000
31 jaar;114 000;112 000
30 jaar;118 000;114 000
29 jaar;118 000;114 000
28 jaar;117 000;113 000
27 jaar;115 000;112 000
26 jaar;115 000;111 000
25 jaar;111 000;108 000
24 jaar;111 000;107 000
23 jaar;110 000;108 000
22 jaar;113 000;110 000
21 jaar;114 000;110 000
20 jaar;116 000;112 000
19 jaar;111 000;107 000
18 jaar;108 000;103 000
17 jaar;106 000;101 000
16 jaar;102 000;98 000
15 jaar;99 000;94 000
14 jaar;98 000;93 000
13 jaar;96 000;92 000
12 jaar;98 000;93 000
11 jaar;98 000;93 000
10 jaar;97 000;93 000
9 jaar;95 000;90 000
8 jaar;93 000;89 000
7 jaar;91 000;86 000
6 jaar;92 000;88 000
5 jaar;90 000;85 000
4 jaar;90 000;86 000
3 jaar;89 000;84 000
2 jaar;87 000;83 000
1 jaar;87 000;83 000
0 jaar;86 000;82 000
